Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
161	 100.00 mV	 0 V	 3.9500 V	 6.53180 uA	 653.1800000 nA/um
162	 100.00 mV	 0 V	 4.0000 V	 6.66900 uA	 666.9000000 nA/um
163	 200.00 mV	 0 V	 0 V	 86.8200 nA	 8.682000000 nA/um
164	 200.00 mV	 0 V	 50.0 mV	 43.6840 uA	 4.368400000 uA/um
165	 200.00 mV	 0 V	 100.0 mV	 53.7730 uA	 5.377300000 uA/um
166	 200.00 mV	 0 V	 150.0 mV	 55.4700 uA	 5.547000000 uA/um
167	 200.00 mV	 0 V	 200.0 mV	 57.6360 uA	 5.763600000 uA/um
168	 200.00 mV	 0 V	 250.0 mV	 59.6130 uA	 5.961300000 uA/um
169	 200.00 mV	 0 V	 300.0 mV	 61.5790 uA	 6.157900000 uA/um
170	 200.00 mV	 0 V	 350.0 mV	 63.3050 uA	 6.330500000 uA/um
171	 200.00 mV	 0 V	 400.0 mV	 65.0680 uA	 6.506800000 uA/um
172	 200.00 mV	 0 V	 450.0 mV	 66.8000 uA	 6.680000000 uA/um
173	 200.00 mV	 0 V	 500.0 mV	 68.8170 uA	 6.881700000 uA/um
174	 200.00 mV	 0 V	 550.0 mV	 70.2130 uA	 7.021300000 uA/um
175	 200.00 mV	 0 V	 600.0 mV	 71.8100 uA	 7.181000000 uA/um
176	 200.00 mV	 0 V	 650.0 mV	 73.5220 uA	 7.352200000 uA/um
177	 200.00 mV	 0 V	 700.0 mV	 75.3370 uA	 7.533700000 uA/um
178	 200.00 mV	 0 V	 750.0 mV	 76.9600 uA	 7.696000000 uA/um
179	 200.00 mV	 0 V	 800.0 mV	 78.1540 uA	 7.815400000 uA/um
180	 200.00 mV	 0 V	 850.0 mV	 79.8460 uA	 7.984600000 uA/um
181	 200.00 mV	 0 V	 900.0 mV	 81.3750 uA	 8.137500000 uA/um
182	 200.00 mV	 0 V	 950.0 mV	 82.9030 uA	 8.290300000 uA/um
183	 200.00 mV	 0 V	 1.0000 V	 84.4310 uA	 8.443100000 uA/um
184	 200.00 mV	 0 V	 1.0500 V	 85.7240 uA	 8.572400000 uA/um
185	 200.00 mV	 0 V	 1.1000 V	 87.7610 uA	 8.776100000 uA/um
186	 200.00 mV	 0 V	 1.1500 V	 88.8030 uA	 8.880300000 uA/um
187	 200.00 mV	 0 V	 1.2000 V	 90.8240 uA	 9.082400000 uA/um
188	 200.00 mV	 0 V	 1.2500 V	 92.0500 uA	 9.205000000 uA/um
189	 200.00 mV	 0 V	 1.3000 V	 93.6210 uA	 9.362100000 uA/um
190	 200.00 mV	 0 V	 1.3500 V	 95.1430 uA	 9.514300000 uA/um
191	 200.00 mV	 0 V	 1.4000 V	 97.0040 uA	 9.700400000 uA/um
192	 200.00 mV	 0 V	 1.4500 V	 98.5640 uA	 9.856400000 uA/um
193	 200.00 mV	 0 V	 1.5000 V	 99.7990 uA	 9.979900000 uA/um
194	 200.00 mV	 0 V	 1.5500 V	 101.290 uA	 10.12900000 uA/um
195	 200.00 mV	 0 V	 1.6000 V	 104.780 uA	 10.47800000 uA/um
196	 200.00 mV	 0 V	 1.6500 V	 107.020 uA	 10.70200000 uA/um
197	 200.00 mV	 0 V	 1.7000 V	 108.920 uA	 10.89200000 uA/um
