Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
3.00E-01,0,5.50E-01,1.73E-03
3.00E-01,0,6.00E-01,1.77E-03
3.00E-01,0,6.50E-01,1.80E-03
3.00E-01,0,7.00E-01,1.83E-03
3.00E-01,0,7.50E-01,1.86E-03
3.00E-01,0,8.00E-01,1.89E-03
3.00E-01,0,8.50E-01,1.91E-03
3.00E-01,0,9.00E-01,1.94E-03
3.00E-01,0,9.50E-01,1.97E-03
3.00E-01,0,1,2.00E-03
3.00E-01,0,1.05,2.02E-03
3.00E-01,0,1.1,2.05E-03
3.00E-01,0,1.15,2.07E-03
3.00E-01,0,1.2,2.10E-03
3.00E-01,0,1.25,2.12E-03
3.00E-01,0,1.3,2.14E-03
3.00E-01,0,1.35,2.17E-03
3.00E-01,0,1.4,2.19E-03
3.00E-01,0,1.45,2.22E-03
3.00E-01,0,1.5,2.24E-03
3.00E-01,0,1.55,2.26E-03
3.00E-01,0,1.6,2.28E-03
3.00E-01,0,1.65,2.31E-03
3.00E-01,0,1.7,2.33E-03
3.00E-01,0,1.75,2.36E-03
3.00E-01,0,1.8,2.38E-03
3.00E-01,0,1.85,2.40E-03
3.00E-01,0,1.9,2.43E-03
3.00E-01,0,1.95,2.45E-03
3.00E-01,0,2,2.47E-03
3.00E-01,0,2.05,2.50E-03
3.00E-01,0,2.1,2.52E-03
3.00E-01,0,2.15,2.54E-03
3.00E-01,0,2.2,2.57E-03
3.00E-01,0,2.25,2.60E-03
3.00E-01,0,2.3,2.62E-03
3.00E-01,0,2.35,2.65E-03
3.00E-01,0,2.4,2.67E-03
3.00E-01,0,2.45,2.70E-03
3.00E-01,0,2.5,2.73E-03
3.00E-01,0,2.55,2.76E-03
3.00E-01,0,2.6,2.79E-03
3.00E-01,0,2.65,2.82E-03
3.00E-01,0,2.7,2.85E-03
3.00E-01,0,2.75,2.89E-03
3.00E-01,0,2.8,2.92E-03
3.00E-01,0,2.85,2.96E-03
3.00E-01,0,2.9,3.00E-03
3.00E-01,0,2.95,3.04E-03
3.00E-01,0,3,3.09E-03
3.00E-01,0,3.05,3.13E-03
3.00E-01,0,3.1,3.18E-03
3.00E-01,0,3.15,3.23E-03
3.00E-01,0,3.2,3.28E-03
3.00E-01,0,3.25,3.33E-03
3.00E-01,0,3.3,3.38E-03
3.00E-01,0,3.35,3.44E-03
3.00E-01,0,3.4,3.49E-03
3.00E-01,0,3.45,3.55E-03
3.00E-01,0,3.5,3.61E-03
3.00E-01,0,3.55,3.67E-03
3.00E-01,0,3.6,3.73E-03
3.00E-01,0,3.65,3.80E-03
3.00E-01,0,3.7,3.86E-03
3.00E-01,0,3.75,3.93E-03
3.00E-01,0,3.8,4.00E-03
3.00E-01,0,3.85,4.07E-03
3.00E-01,0,3.9,4.15E-03
3.00E-01,0,3.95,4.22E-03
3.00E-01,0,4,4.30E-03
4.00E-01,0,0,5.43E-06
4.00E-01,0,5.00E-02,4.84E-03
4.00E-01,0,1.00E-01,8.29E-03
4.00E-01,0,1.50E-01,1.03E-02
4.00E-01,0,2.00E-01,1.14E-02
4.00E-01,0,2.50E-01,1.18E-02
4.00E-01,0,3.00E-01,1.22E-02
4.00E-01,0,3.50E-01,1.25E-02
4.00E-01,0,4.00E-01,1.27E-02
4.00E-01,0,4.50E-01,1.30E-02
4.00E-01,0,5.00E-01,1.32E-02
4.00E-01,0,5.50E-01,1.34E-02
4.00E-01,0,6.00E-01,1.35E-02
4.00E-01,0,6.50E-01,1.37E-02
4.00E-01,0,7.00E-01,1.38E-02
4.00E-01,0,7.50E-01,1.39E-02
4.00E-01,0,8.00E-01,1.41E-02
4.00E-01,0,8.50E-01,1.42E-02
4.00E-01,0,9.00E-01,1.44E-02
4.00E-01,0,9.50E-01,1.45E-02
4.00E-01,0,1,1.46E-02
4.00E-01,0,1.05,1.47E-02
4.00E-01,0,1.1,1.48E-02
4.00E-01,0,1.15,1.49E-02
4.00E-01,0,1.2,1.50E-02
4.00E-01,0,1.25,1.51E-02
4.00E-01,0,1.3,1.52E-02
4.00E-01,0,1.35,1.53E-02
4.00E-01,0,1.4,1.55E-02
4.00E-01,0,1.45,1.56E-02
4.00E-01,0,1.5,1.57E-02
4.00E-01,0,1.55,1.58E-02
4.00E-01,0,1.6,1.59E-02
4.00E-01,0,1.65,1.59E-02
4.00E-01,0,1.7,1.60E-02
4.00E-01,0,1.75,1.61E-02
4.00E-01,0,1.8,1.62E-02
4.00E-01,0,1.85,1.63E-02
4.00E-01,0,1.9,1.64E-02
4.00E-01,0,1.95,1.65E-02
4.00E-01,0,2,1.66E-02
4.00E-01,0,2.05,1.67E-02
4.00E-01,0,2.1,1.68E-02
4.00E-01,0,2.15,1.69E-02
4.00E-01,0,2.2,1.70E-02
4.00E-01,0,2.25,1.71E-02
4.00E-01,0,2.3,1.72E-02
4.00E-01,0,2.35,1.73E-02
4.00E-01,0,2.4,1.74E-02
4.00E-01,0,2.45,1.75E-02
4.00E-01,0,2.5,1.77E-02
4.00E-01,0,2.55,1.78E-02
4.00E-01,0,2.6,1.79E-02
4.00E-01,0,2.65,1.81E-02
4.00E-01,0,2.7,1.83E-02
4.00E-01,0,2.75,1.84E-02
4.00E-01,0,2.8,1.86E-02
4.00E-01,0,2.85,1.88E-02
4.00E-01,0,2.9,1.89E-02
4.00E-01,0,2.95,1.91E-02
4.00E-01,0,3,1.93E-02
4.00E-01,0,3.05,1.94E-02
4.00E-01,0,3.1,1.96E-02
4.00E-01,0,3.15,1.98E-02
4.00E-01,0,3.2,2.00E-02
4.00E-01,0,3.25,2.02E-02
4.00E-01,0,3.3,2.03E-02
4.00E-01,0,3.35,2.05E-02
4.00E-01,0,3.4,2.07E-02
4.00E-01,0,3.45,2.09E-02
4.00E-01,0,3.5,2.11E-02
4.00E-01,0,3.55,2.13E-02
4.00E-01,0,3.6,2.15E-02
4.00E-01,0,3.65,2.17E-02
4.00E-01,0,3.7,2.19E-02
4.00E-01,0,3.75,2.21E-02
4.00E-01,0,3.8,2.23E-02
4.00E-01,0,3.85,2.26E-02
4.00E-01,0,3.9,2.28E-02
4.00E-01,0,3.95,2.30E-02
4.00E-01,0,4,2.32E-02
5.00E-01,0,0,5.51E-06
5.00E-01,0,5.00E-02,7.57E-03
5.00E-01,0,1.00E-01,1.46E-02
5.00E-01,0,1.50E-01,2.11E-02
5.00E-01,0,2.00E-01,2.68E-02
5.00E-01,0,2.50E-01,3.15E-02
5.00E-01,0,3.00E-01,3.50E-02
5.00E-01,0,3.50E-01,3.73E-02
5.00E-01,0,4.00E-01,3.88E-02
5.00E-01,0,4.50E-01,3.97E-02
5.00E-01,0,5.00E-01,4.04E-02
5.00E-01,0,5.50E-01,4.09E-02
5.00E-01,0,6.00E-01,4.13E-02
5.00E-01,0,6.50E-01,4.16E-02
5.00E-01,0,7.00E-01,4.19E-02
5.00E-01,0,7.50E-01,4.22E-02
5.00E-01,0,8.00E-01,4.25E-02
5.00E-01,0,8.50E-01,4.28E-02
5.00E-01,0,9.00E-01,4.30E-02
5.00E-01,0,9.50E-01,4.32E-02
5.00E-01,0,1,4.35E-02
5.00E-01,0,1.05,4.37E-02
5.00E-01,0,1.1,4.39E-02
5.00E-01,0,1.15,4.41E-02
5.00E-01,0,1.2,4.43E-02
5.00E-01,0,1.25,4.44E-02
5.00E-01,0,1.3,4.46E-02
5.00E-01,0,1.35,4.48E-02
5.00E-01,0,1.4,4.50E-02
5.00E-01,0,1.45,4.52E-02
5.00E-01,0,1.5,4.54E-02
5.00E-01,0,1.55,4.55E-02
5.00E-01,0,1.6,4.57E-02
5.00E-01,0,1.65,4.59E-02
5.00E-01,0,1.7,4.60E-02
5.00E-01,0,1.75,4.61E-02
5.00E-01,0,1.8,4.63E-02
5.00E-01,0,1.85,4.65E-02
5.00E-01,0,1.9,4.66E-02
5.00E-01,0,1.95,4.68E-02
5.00E-01,0,2,4.70E-02
5.00E-01,0,2.05,4.71E-02
5.00E-01,0,2.1,4.73E-02
5.00E-01,0,2.15,4.75E-02
5.00E-01,0,2.2,4.76E-02
5.00E-01,0,2.25,4.78E-02
5.00E-01,0,2.3,4.80E-02
5.00E-01,0,2.35,4.82E-02
5.00E-01,0,2.4,4.84E-02
5.00E-01,0,2.45,4.86E-02
5.00E-01,0,2.5,4.88E-02
5.00E-01,0,2.55,4.90E-02
5.00E-01,0,2.6,4.93E-02
5.00E-01,0,2.65,4.96E-02
5.00E-01,0,2.7,4.99E-02
5.00E-01,0,2.75,5.01E-02
5.00E-01,0,2.8,5.04E-02
5.00E-01,0,2.85,5.07E-02
5.00E-01,0,2.9,5.10E-02
5.00E-01,0,2.95,5.13E-02
5.00E-01,0,3,5.16E-02
5.00E-01,0,3.05,5.18E-02
5.00E-01,0,3.1,5.21E-02
5.00E-01,0,3.15,5.24E-02
5.00E-01,0,3.2,5.26E-02
5.00E-01,0,3.25,5.29E-02
5.00E-01,0,3.3,5.32E-02
5.00E-01,0,3.35,5.34E-02
5.00E-01,0,3.4,5.37E-02
5.00E-01,0,3.45,5.40E-02
5.00E-01,0,3.5,5.42E-02
5.00E-01,0,3.55,5.45E-02
5.00E-01,0,3.6,5.48E-02
5.00E-01,0,3.65,5.51E-02
5.00E-01,0,3.7,5.54E-02
5.00E-01,0,3.75,5.56E-02
5.00E-01,0,3.8,5.59E-02
5.00E-01,0,3.85,5.62E-02
5.00E-01,0,3.9,5.65E-02
5.00E-01,0,3.95,5.68E-02
5.00E-01,0,4,5.71E-02
6.00E-01,0,0,3.24E-06
6.00E-01,0,5.00E-02,8.68E-03
6.00E-01,0,1.00E-01,1.71E-02
6.00E-01,0,1.50E-01,2.54E-02
6.00E-01,0,2.00E-01,3.35E-02
6.00E-01,0,2.50E-01,4.12E-02
6.00E-01,0,3.00E-01,4.86E-02
6.00E-01,0,3.50E-01,5.54E-02
6.00E-01,0,4.00E-01,6.15E-02
6.00E-01,0,4.50E-01,6.69E-02
6.00E-01,0,5.00E-01,7.13E-02
6.00E-01,0,5.50E-01,7.47E-02
6.00E-01,0,6.00E-01,7.71E-02
6.00E-01,0,6.50E-01,7.87E-02
6.00E-01,0,7.00E-01,7.98E-02
